Company Name,Exchange,Ticker,Headquarter,Primary Industry, LFY Market Cap ($USD mn) ,Filing date - LFY,Filing date - LFY-1,Filing date - LFY-2
Apple Inc. (NasdaqGS:AAPL),NasdaqGS,AAPL,California,"Technology Hardware, Storage and Peripherals"," 10,30,321 ",3-Nov-17,26-Oct-16,28-Oct-15
Alphabet Inc. (NasdaqGS:GOOG.L),NasdaqGS,GOOGL,California,Internet Software and Services," 8,45,404 ",6-Feb-18,3-Feb-17,11-Feb-16
"Facebook, Inc. (NasdaqGS:FB)",NasdaqGS,FB,California,Internet Software and Services," 5,04,397 ",1-Feb-18,3-Feb-17,28-Jan-16
Visa Inc. (NYSE:V),NYSE,V,California,Data Processing and Outsourced Services," 3,14,475 ",17-Nov-17,15-Nov-16,20-Nov-15
Intel Corporation (NasdaqGS:INTC),NasdaqGS,INTC,California,Semiconductors," 2,17,178 ",16-Feb-18,17-Feb-17,12-Feb-16
"Cisco Systems, Inc. (NasdaqGS:CSCO)",NasdaqGS,CSCO,California,Communications Equipment," 2,15,721 ",7-Sep-17,8-Sep-16,8-Sep-15
Oracle Corporation (NYSE:ORCL),NYSE,ORCL,California,Systems Software," 1,91,494 ",22-Jun-18,27-Jun-17,22-Jun-16
NVIDIA Corporation (NasdaqGS:NVDA),NasdaqGS,NVDA,California,Semiconductors," 1,48,851 ",28-Feb-18,1-Mar-17,17-Mar-16
Adobe Systems Incorporated (NasdaqGS:ADBE),NasdaqGS,ADBE,California,Application Software," 1,21,872 ",22-Jan-18,20-Jan-17,19-Jan-16
"salesforce.com, inc. (NYSE:CRM)",NYSE,CRM,California,Application Software," 1,08,264 ",9-Mar-18,6-Mar-17,7-Mar-16
"PayPal Holdings, Inc. (NasdaqGS:PYPL)",NasdaqGS,PYPL,California,Data Processing and Outsourced Services," 1,01,145 ",7-Feb-18,8-Feb-17,11-Feb-16
QUALCOMM Incorporated (NasdaqGS:QCOM),NasdaqGS,QCOM,California,Semiconductors," 97,051 ",1-Nov-17,2-Nov-16,4-Nov-15
Broadcom Inc. (NasdaqGS:AVGO),NasdaqGS,AVGO,California,Semiconductors," 87,510 ",21-Dec-17,23-Dec-16,17-Dec-15
"VMware, Inc. (NYSE:VMW)",NYSE,VMW,California,Systems Software," 61,815 ",29-Mar-18,24-Feb-17,25-Feb-16
Intuit Inc. (NasdaqGS:INTU),NasdaqGS,INTU,California,Application Software," 53,804 ",1-Sep-17,1-Sep-16,1-Sep-15
"Activision Blizzard, Inc. (NasdaqGS:ATVI)",NasdaqGS,ATVI,California,Home Entertainment Software," 52,721 ",27-Feb-18,28-Feb-17,29-Feb-16
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS,AMAT,California,Semiconductor Equipment," 44,122 ",15-Dec-17,15-Dec-16,9-Dec-15
Electronic Arts Inc. (NasdaqGS:EA),NasdaqGS,EA,California,Home Entertainment Software," 39,020 ",23-May-18,24-May-17,27-May-16
HP Inc. (NYSE:HPQ),NYSE,HPQ,California,"Technology Hardware, Storage and Peripherals"," 39,522 ",14-Dec-17,15-Dec-16,16-Dec-15
eBay Inc. (NasdaqGS:EBAY),NasdaqGS,EBAY,California,Internet Software and Services," 33,655 ",5-Feb-18,6-Feb-17,1-Feb-16
"ServiceNow, Inc. (NYSE:NOW)",NYSE,NOW,California,Systems Software," 32,392 ",28-Feb-18,28-Feb-17,25-Feb-16
"Workday, Inc. (NasdaqGS:WDAY)",NasdaqGS,WDAY,California,Application Software," 30,251 ",14-Mar-18,20-Mar-17,22-Mar-16
"Square, Inc. (NYSE:SQ)",NYSE,SQ,California,Data Processing and Outsourced Services," 29,920 ",27-Feb-18,27-Feb-17,10-Mar-16
"Autodesk, Inc. (NasdaqGS:ADSK)",NasdaqGS,ADSK,California,Application Software," 29,004 ",22-Mar-18,21-Mar-17,23-Mar-16
Lam Research Corporation (NasdaqGS:LRCX),NasdaqGS,LRCX,California,Semiconductor Equipment," 26,774 ",14-Aug-18,15-Aug-17,17-Aug-16
